frame,second,track_id,class_id,class_name,confidence,direction,center_x,center_y
4,0,81,1,car,0.6950547099113464,bottom,1343.4406127929688,898.6094055175781
25,0,57,1,car,0.9072154760360718,right,1278.4860229492188,277.482421875
27,0,70,1,car,0.8271213173866272,left,651.0628356933594,877.2174987792969
44,1,51,1,car,0.8514719605445862,right,1279.3475952148438,558.8319702148438
45,1,48,1,car,0.8219165205955505,right,1279.57666015625,514.2881622314453
101,3,33,1,car,0.8793537020683289,right,1277.7088012695312,560.6738891601562
118,3,25,1,car,0.8525472283363342,right,1277.9432983398438,516.7384490966797
130,4,75,1,car,0.872437596321106,left,650.3292236328125,880.04833984375
172,5,11,1,car,0.844197154045105,right,1278.86328125,558.1995239257812
184,6,9,1,car,0.8590812683105469,right,1278.79052734375,514.2405548095703
215,7,73,1,car,0.9014664888381958,left,650.8208923339844,867.7171630859375
225,7,40,1,car,0.8867774605751038,left,650.2762756347656,581.7716064453125
226,7,10,1,car,0.8680435419082642,right,1279.9014282226562,558.9388732910156
242,8,114,1,car,0.8453568816184998,top,622.1867065429688,250.3008575439453
259,8,39,1,car,0.8575471043586731,right,1279.4141845703125,514.9424285888672
292,9,53,1,car,0.8185783624649048,right,1279.3798828125,565.7188415527344
307,10,54,1,car,0.8841590881347656,right,1279.2555541992188,512.8887634277344
350,11,65,1,car,0.8664180040359497,left,651.3433837890625,579.9857788085938
351,11,107,1,car,0.8620267510414124,right,1279.6467895507812,564.5221557617188
368,12,99,1,car,0.7956641912460327,right,1278.0663452148438,515.7759246826172
411,13,58,1,car,0.7438438534736633,left,650.1045532226562,577.7234497070312
411,13,118,1,car,0.878433883190155,right,1278.1618041992188,519.5273742675781
445,14,121,1,car,0.8771213889122009,right,1279.321044921875,562.1681213378906
479,15,20,1,car,0.8698992133140564,left,650.4333801269531,575.3811950683594
481,16,125,1,car,0.8264012932777405,right,1277.32080078125,511.25616455078125
509,16,139,1,car,0.7764137387275696,right,1279.4092407226562,558.3160095214844
545,18,152,1,car,0.9075393080711365,right,1279.7539672851562,274.81407165527344
550,18,36,1,car,0.8631643056869507,left,651.1422119140625,577.7377319335938
555,18,151,1,car,0.8853139281272888,right,1278.5407104492188,561.2431640625
574,19,154,1,car,0.7542694807052612,right,1278.948974609375,514.9075469970703
621,20,35,1,car,0.8683161735534668,left,650.2608947753906,579.8888854980469
624,20,163,1,car,0.8050526976585388,right,1278.5064086914062,557.8510131835938
