second,top,bottom,left,right,total
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,1,0,0,1
236,1,0,0,0,1
237,2,3,0,0,5
238,1,0,0,0,1
239,2,2,0,0,4
240,0,0,0,0,0
241,2,2,0,0,4
242,2,2,0,0,4
243,1,1,0,0,2
244,1,3,0,0,4
245,1,0,0,0,1
246,1,2,0,0,3
247,1,1,0,0,2
248,2,1,0,0,3
249,1,1,0,0,2
250,1,1,0,1,3
251,1,0,0,0,1
252,2,1,0,0,3
253,0,1,0,0,1
254,4,1,0,0,5
255,0,1,0,0,1
256,2,1,0,0,3
257,1,0,0,0,1
258,1,1,0,0,2
259,2,0,0,1,3
260,0,0,0,0,0
261,1,2,0,0,3
262,1,1,0,0,2
263,2,1,0,0,3
264,2,0,0,0,2
265,1,0,0,0,1
266,2,1,1,0,4
267,1,0,0,0,1
268,1,0,0,0,1
269,3,1,0,0,4
270,1,0,0,0,1
271,3,0,0,0,3
272,0,1,0,1,2
273,2,0,0,0,2
274,1,0,0,0,1
275,2,0,0,0,2
276,2,0,0,0,2
277,1,0,0,0,1
278,1,0,0,0,1
279,0,0,0,0,0
280,0,0,0,1,1
281,1,0,0,0,1
282,0,0,0,0,0
283,0,0,0,0,0
284,1,1,0,0,2
285,1,1,0,0,2
286,0,0,0,0,0
287,0,1,0,0,1
288,1,0,0,0,1
289,0,1,0,0,1
290,2,1,0,0,3
291,0,0,0,0,0
292,1,1,0,0,2
293,1,1,0,0,2
294,0,2,0,0,2
295,0,0,1,0,1
296,1,0,0,0,1
297,1,1,0,0,2
298,1,1,0,1,3
299,0,0,0,0,0
300,0,1,0,0,1
301,1,0,0,0,1
302,0,0,0,0,0
303,2,1,1,0,4
304,0,0,0,0,0
305,0,1,1,0,2
306,0,1,0,0,1
307,1,0,1,0,2
308,0,0,0,0,0
309,2,0,0,0,2
310,1,0,1,0,2
311,0,0,0,0,0
312,1,0,0,0,1
313,0,0,1,0,1
314,0,0,0,0,0
315,0,0,0,1,1
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,2,3,5
319,0,0,3,0,3
320,0,0,0,3,3
321,0,0,1,0,1
322,0,0,3,0,3
323,0,0,0,0,0
324,0,0,3,2,5
325,0,0,1,1,2
326,0,0,2,1,3
327,0,0,2,0,2
328,0,0,1,2,3
329,0,0,2,2,4
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,2,3,5
333,0,0,2,0,2
334,0,0,1,2,3
335,0,1,3,0,4
336,0,0,2,1,3
337,0,0,0,0,0
338,0,0,3,1,4
339,0,0,0,0,0
340,0,0,3,2,5
341,0,1,0,2,3
342,0,0,2,0,2
343,0,0,2,0,2
344,0,0,2,3,5
345,0,0,1,0,1
346,0,0,1,1,2
347,0,0,0,1,1
348,0,0,1,1,2
349,0,1,3,0,4
350,0,0,2,2,4
351,0,0,0,0,0
352,0,0,1,2,3
353,0,0,2,0,2
354,0,0,1,0,1
355,0,0,2,1,3
356,0,0,1,0,1
357,0,0,0,1,1
358,0,0,0,0,0
359,0,0,1,1,2
360,0,0,0,0,0
361,0,0,0,2,2
362,0,1,1,0,2
