Strategy,Total waiting time,Max total queue,Direction imbalance,Avg queue top,Avg queue bottom,Avg queue left,Avg queue right,Fitness
Fixed timing baseline,82308,131,21.437057781954298,20.688701923076923,6.115384615384615,11.37860576923077,60.74519230769231,82336.3437057782
GA optimized,50281,100,8.889550742752851,25.861778846153847,8.185096153846153,4.673076923076923,21.713942307692307,50301.888955074275
