second,phase,queue_top,queue_bottom,queue_left,queue_right,total_queue,arrivals_top,arrivals_bottom,arrivals_left,arrivals_right
117,horizontal_green,40,11,0,0,51,2,0,0,0
118,horizontal_green,40,11,0,0,51,0,0,1,0
119,horizontal_green,40,11,0,0,51,0,0,0,0
120,horizontal_green,41,11,0,0,52,1,0,1,0
121,horizontal_green,41,11,0,0,52,0,0,0,0
122,horizontal_green,41,11,0,0,52,0,0,0,0
123,horizontal_green,41,11,0,0,52,0,0,0,0
124,horizontal_green,41,11,0,0,52,0,0,0,0
125,horizontal_green,41,11,0,0,52,0,0,0,0
126,horizontal_green,41,11,0,0,52,0,0,0,1
127,horizontal_green,41,11,0,0,52,0,0,1,1
128,horizontal_green,41,11,1,1,54,0,0,2,2
129,horizontal_green,41,11,1,1,54,0,0,1,1
130,horizontal_green,41,11,3,1,56,0,0,3,1
131,horizontal_green,42,11,2,1,56,1,0,0,1
132,horizontal_green,42,11,2,0,55,0,0,1,0
133,horizontal_green,42,11,2,1,56,0,0,1,2
134,horizontal_green,42,11,2,0,55,0,0,1,0
135,horizontal_green,42,11,3,0,56,0,0,2,1
136,horizontal_green,42,11,3,0,56,0,0,1,1
137,horizontal_green,42,11,3,0,56,0,0,1,0
138,horizontal_green,42,12,3,1,58,0,1,1,2
139,horizontal_green,42,12,4,1,59,0,0,2,1
140,horizontal_green,42,12,3,1,58,0,0,0,1
141,horizontal_green,42,13,3,0,58,0,1,1,0
142,horizontal_green,42,13,4,0,59,0,0,2,0
143,horizontal_green,42,13,3,1,59,0,0,0,2
144,horizontal_green,42,13,5,0,60,0,0,3,0
145,horizontal_green,42,13,5,0,60,0,0,1,1
146,horizontal_green,42,13,6,0,61,0,0,2,0
147,horizontal_green,42,13,5,2,62,0,0,0,3
148,horizontal_green,42,13,7,1,63,0,0,3,0
149,horizontal_green,42,13,6,0,61,0,0,0,0
150,horizontal_green,42,13,7,0,62,0,0,2,0
151,horizontal_green,42,13,7,0,62,0,0,1,1
152,horizontal_green,42,13,9,0,64,0,0,3,0
153,horizontal_green,42,13,9,1,65,0,0,1,2
154,horizontal_green,42,13,9,0,64,0,0,1,0
155,horizontal_green,42,13,10,2,67,0,0,2,3
156,horizontal_green,42,13,10,1,66,0,0,1,0
157,horizontal_green,42,13,11,1,67,0,0,2,1
158,horizontal_green,42,14,11,0,67,0,1,1,0
159,horizontal_yellow,42,14,13,1,70,0,0,2,1
160,horizontal_yellow,42,14,13,2,71,0,0,0,1
161,all_red_1,42,14,16,3,75,0,0,3,1
162,vertical_green,41,13,17,4,75,0,0,1,1
163,vertical_green,40,12,18,6,76,0,0,1,2
164,vertical_green,39,11,19,7,76,0,0,1,1
165,vertical_green,38,10,21,8,77,0,0,2,1
166,vertical_green,37,9,22,9,77,0,0,1,1
167,vertical_green,36,8,24,9,77,0,0,2,0
168,vertical_green,35,7,24,10,76,0,0,0,1
169,vertical_green,34,6,25,12,77,0,0,1,2
170,vertical_green,33,5,26,12,76,0,0,1,0
171,vertical_green,32,4,26,15,77,0,0,0,3
172,vertical_green,31,3,26,15,75,0,0,0,0
173,vertical_green,30,2,26,17,75,0,0,0,2
174,vertical_green,29,1,26,18,74,0,0,0,1
175,vertical_green,28,0,26,20,74,0,0,0,2
176,vertical_green,27,0,26,21,74,0,0,0,1
177,vertical_green,26,0,26,22,74,0,0,0,1
178,vertical_green,25,0,26,23,74,0,0,0,1
179,vertical_green,24,0,26,24,74,0,0,0,1
180,vertical_green,23,0,26,26,75,0,0,0,2
181,vertical_green,22,0,26,26,74,0,0,0,0
182,vertical_green,21,0,26,28,75,0,0,0,2
183,vertical_green,20,0,26,28,74,0,0,0,0
184,vertical_green,19,0,26,31,76,0,0,0,3
185,vertical_green,18,0,26,31,75,0,0,0,0
186,vertical_green,17,0,26,33,76,0,0,0,2
187,vertical_green,16,0,26,34,76,0,0,0,1
188,vertical_green,15,0,26,35,76,0,0,0,1
189,vertical_green,14,0,27,38,79,0,0,1,3
190,vertical_green,13,0,27,40,80,0,0,0,2
191,vertical_green,12,0,27,42,81,0,0,0,2
192,vertical_green,11,0,27,45,83,0,0,0,3
193,vertical_green,10,0,27,47,84,0,0,0,2
194,vertical_green,9,0,27,49,85,0,0,0,2
195,vertical_green,8,0,28,49,85,0,0,1,0
196,vertical_green,7,0,28,50,85,0,0,0,1
197,vertical_green,6,0,28,51,85,0,0,0,1
198,vertical_green,5,0,28,52,85,0,0,0,1
199,vertical_green,4,0,28,53,85,0,0,0,1
200,vertical_green,3,0,29,53,85,0,0,1,0
201,vertical_yellow,3,0,29,55,87,0,0,0,2
202,vertical_yellow,3,0,30,55,88,0,0,1,0
203,all_red_2,3,0,30,56,89,0,0,0,1
204,horizontal_green,3,0,30,56,89,0,0,1,1
205,horizontal_green,3,0,29,56,88,0,0,0,1
206,horizontal_green,3,0,28,56,87,0,0,0,1
207,horizontal_green,3,0,28,55,86,0,0,1,0
208,horizontal_green,3,0,27,56,86,0,0,0,2
209,horizontal_green,3,0,28,55,86,0,0,2,0
210,horizontal_green,3,0,27,56,86,0,0,0,2
211,horizontal_green,3,0,27,55,85,0,0,1,0
212,horizontal_green,3,0,27,55,85,0,0,1,1
213,horizontal_green,3,0,26,55,84,0,0,0,1
214,horizontal_green,3,0,26,54,83,0,0,1,0
215,horizontal_green,3,0,25,54,82,0,0,0,1
216,horizontal_green,3,0,25,53,81,0,0,1,0
217,horizontal_green,3,0,24,53,80,0,0,0,1
218,horizontal_green,3,0,23,53,79,0,0,0,1
219,horizontal_green,3,0,23,52,78,0,0,1,0
220,horizontal_green,3,0,22,52,77,0,0,0,1
221,horizontal_green,3,0,22,51,76,0,0,1,0
222,horizontal_green,3,0,21,50,74,0,0,0,0
223,horizontal_green,3,0,20,50,73,0,0,0,1
224,horizontal_green,3,0,20,50,73,0,0,1,1
225,horizontal_green,3,0,19,50,72,0,0,0,1
226,horizontal_green,3,1,18,49,71,0,1,0,0
227,horizontal_green,3,1,17,49,70,0,0,0,1
228,horizontal_green,3,2,16,49,70,0,1,0,1
229,horizontal_green,3,2,15,49,69,0,0,0,1
230,horizontal_green,3,2,14,48,67,0,0,0,0
231,horizontal_green,3,2,13,47,65,0,0,0,0
232,horizontal_green,3,2,12,46,63,0,0,0,0
233,horizontal_green,3,2,11,45,61,0,0,0,0
234,horizontal_green,3,2,10,44,59,0,0,0,0
235,horizontal_green,3,3,9,43,58,0,1,0,0
236,horizontal_green,4,3,8,42,57,1,0,0,0
237,horizontal_green,6,6,7,41,60,2,3,0,0
238,horizontal_green,7,6,6,40,59,1,0,0,0
239,horizontal_green,9,8,5,39,61,2,2,0,0
240,horizontal_green,9,8,4,38,59,0,0,0,0
241,horizontal_green,11,10,3,37,61,2,2,0,0
242,horizontal_green,13,12,2,36,63,2,2,0,0
243,horizontal_green,14,13,1,35,63,1,1,0,0
244,horizontal_green,15,16,0,34,65,1,3,0,0
245,horizontal_green,16,16,0,33,65,1,0,0,0
246,horizontal_green,17,18,0,32,67,1,2,0,0
247,horizontal_green,18,19,0,31,68,1,1,0,0
248,horizontal_green,20,20,0,30,70,2,1,0,0
249,horizontal_green,21,21,0,29,71,1,1,0,0
250,horizontal_green,22,22,0,29,73,1,1,0,1
251,horizontal_green,23,22,0,28,73,1,0,0,0
252,horizontal_green,25,23,0,27,75,2,1,0,0
253,horizontal_green,25,24,0,26,75,0,1,0,0
254,horizontal_green,29,25,0,25,79,4,1,0,0
255,horizontal_green,29,26,0,24,79,0,1,0,0
256,horizontal_green,31,27,0,23,81,2,1,0,0
257,horizontal_green,32,27,0,22,81,1,0,0,0
